SB00,SB01,SB02,SB03,SB04,SB05
71.47,116.58,88.66,68.5,64.06,83.47
116.58,88.66,68.5,64.06,83.47,64.09
88.66,68.5,64.06,83.47,64.09,84.86
68.5,64.06,83.47,64.09,84.86,58.84
64.06,83.47,64.09,84.86,58.84,61.17
83.47,64.09,84.86,58.84,61.17,69.79
64.09,84.86,58.84,61.17,69.79,76.77
84.86,58.84,61.17,69.79,76.77,79.46
58.84,61.17,69.79,76.77,79.46,58.13
61.17,69.79,76.77,79.46,58.13,68.56
69.79,76.77,79.46,58.13,68.56,60.06
76.77,79.46,58.13,68.56,60.06,60.19
113.74,56.73,144.33,99.39,103.31,51.84
79.46,58.13,68.56,60.06,60.19,66.75
56.73,144.33,99.39,103.31,51.84,111.76
58.13,68.56,60.06,60.19,66.75,51.32
144.33,99.39,103.31,51.84,111.76,114.77
68.56,60.06,60.19,66.75,51.32,60.32
99.39,103.31,51.84,111.76,114.77,116.49
60.06,60.19,66.75,51.32,60.32,60.9
103.31,51.84,111.76,114.77,116.49,75.82
60.19,66.75,51.32,60.32,60.9,62.18
51.84,111.76,114.77,116.49,75.82,97.67
66.75,51.32,60.32,60.9,62.18,89.12
87.16,91.88,95.79,97.8,107.85,140.48
111.76,114.77,116.49,75.82,97.67,140.7
51.32,60.32,60.9,62.18,89.12,74.38
91.88,95.79,97.8,107.85,140.48,86.11
114.77,116.49,75.82,97.67,140.7,115.48
211.81,263.91,170.93,196.83,239.19,116.16
60.32,60.9,62.18,89.12,74.38,58.46
95.79,97.8,107.85,140.48,86.11,128.38
60.9,62.18,89.12,74.38,58.46,103.07
97.8,107.85,140.48,86.11,128.38,113.58
62.18,89.12,74.38,58.46,103.07,90.96
107.85,140.48,86.11,128.38,113.58,101.22
89.12,74.38,58.46,103.07,90.96,63.41
140.48,86.11,128.38,113.58,101.22,110.38
74.38,58.46,103.07,90.96,63.41,59.08
86.11,128.38,113.58,101.22,110.38,104.78
58.46,103.07,90.96,63.41,59.08,86.53
128.38,113.58,101.22,110.38,104.78,120.05
103.07,90.96,63.41,59.08,86.53,48.83
113.58,101.22,110.38,104.78,120.05,107.22
90.96,63.41,59.08,86.53,48.83,65.35
101.22,110.38,104.78,120.05,107.22,114.09
63.41,59.08,86.53,48.83,65.35,73.56
110.38,104.78,120.05,107.22,114.09,220.1
59.08,86.53,48.83,65.35,73.56,59.5
104.78,120.05,107.22,114.09,220.1,121.59
86.53,48.83,65.35,73.56,59.5,60.8
120.05,107.22,114.09,220.1,121.59,112.2
48.83,65.35,73.56,59.5,60.8,53.95
107.22,114.09,220.1,121.59,112.2,86.73
65.35,73.56,59.5,60.8,53.95,62.58
114.09,220.1,121.59,112.2,86.73,75.71
96.17,119.58,101.77,117.65,124.2,93.9
73.56,59.5,60.8,53.95,62.58,51.87
220.1,121.59,112.2,86.73,75.71,92.67
119.58,101.77,117.65,124.2,93.9,93.98
59.5,60.8,53.95,62.58,51.87,53.81
121.59,112.2,86.73,75.71,92.67,111.54
60.8,53.95,62.58,51.87,53.81,53.03
112.2,86.73,75.71,92.67,111.54,130.0
53.95,62.58,51.87,53.81,53.03,59.78
86.73,75.71,92.67,111.54,130.0,86.48
62.58,51.87,53.81,53.03,59.78,49.0
75.71,92.67,111.54,130.0,86.48,97.78
51.87,53.81,53.03,59.78,49.0,39.15
92.67,111.54,130.0,86.48,97.78,156.89
53.81,53.03,59.78,49.0,39.15,64.95
53.03,59.78,49.0,39.15,64.95,122.84
59.78,49.0,39.15,64.95,122.84,51.29
49.0,39.15,64.95,122.84,51.29,43.06
39.15,64.95,122.84,51.29,43.06,62.39
64.95,122.84,51.29,43.06,62.39,52.1
122.84,51.29,43.06,62.39,52.1,45.71
51.29,43.06,62.39,52.1,45.71,52.62
45.63,60.5,60.63,65.36,57.04,63.97
60.5,60.63,65.36,57.04,63.97,132.22
60.63,65.36,57.04,63.97,132.22,100.39
65.36,57.04,63.97,132.22,100.39,65.35
57.04,63.97,132.22,100.39,65.35,75.53
63.97,132.22,100.39,65.35,75.53,77.43
72.47,90.79,88.86,180.59,126.73,217.6
132.22,100.39,65.35,75.53,77.43,70.94
90.79,88.86,180.59,126.73,217.6,121.92
100.39,65.35,75.53,77.43,70.94,69.42
88.86,180.59,126.73,217.6,121.92,161.56
65.35,75.53,77.43,70.94,69.42,78.81
180.59,126.73,217.6,121.92,161.56,113.62
75.53,77.43,70.94,69.42,78.81,61.73
133.41,150.22,135.28,121.01,132.87,109.12
126.73,217.6,121.92,161.56,113.62,137.22
77.43,70.94,69.42,78.81,61.73,81.75
150.22,135.28,121.01,132.87,109.12,93.68
217.6,121.92,161.56,113.62,137.22,133.78
70.94,69.42,78.81,61.73,81.75,108.18
135.28,121.01,132.87,109.12,93.68,164.1
69.42,78.81,61.73,81.75,108.18,110.34
121.01,132.87,109.12,93.68,164.1,110.71
78.81,61.73,81.75,108.18,110.34,53.57
132.87,109.12,93.68,164.1,110.71,118.65
61.73,81.75,108.18,110.34,53.57,50.36
109.12,93.68,164.1,110.71,118.65,87.2
81.75,108.18,110.34,53.57,50.36,50.41
93.68,164.1,110.71,118.65,87.2,121.41
108.18,110.34,53.57,50.36,50.41,101.76
110.34,53.57,50.36,50.41,101.76,55.95
53.57,50.36,50.41,101.76,55.95,60.76
50.36,50.41,101.76,55.95,60.76,54.92
50.41,101.76,55.95,60.76,54.92,66.94
101.76,55.95,60.76,54.92,66.94,71.59
55.95,60.76,54.92,66.94,71.59,63.84
60.76,54.92,66.94,71.59,63.84,90.96
200.47,101.82,69.63,88.79,117.05,90.71
54.92,66.94,71.59,63.84,90.96,104.94
101.82,69.63,88.79,117.05,90.71,128.29
66.94,71.59,63.84,90.96,104.94,60.32
69.63,88.79,117.05,90.71,128.29,129.11
71.59,63.84,90.96,104.94,60.32,102.25
88.79,117.05,90.71,128.29,129.11,101.98
63.84,90.96,104.94,60.32,102.25,58.8
117.05,90.71,128.29,129.11,101.98,101.56
127.91,128.67,233.66,204.39,132.93,221.93
90.96,104.94,60.32,102.25,58.8,57.39
132.44,110.89,107.58,108.72,102.05,120.42
90.71,128.29,129.11,101.98,101.56,130.6
128.67,233.66,204.39,132.93,221.93,206.46
104.94,60.32,102.25,58.8,57.39,86.53
110.89,107.58,108.72,102.05,120.42,131.72
128.29,129.11,101.98,101.56,130.6,113.65
233.66,204.39,132.93,221.93,206.46,171.72
60.32,102.25,58.8,57.39,86.53,70.04
107.58,108.72,102.05,120.42,131.72,133.68
129.11,101.98,101.56,130.6,113.65,84.49
102.25,58.8,57.39,86.53,70.04,75.99
108.72,102.05,120.42,131.72,133.68,117.13
101.98,101.56,130.6,113.65,84.49,115.19
58.8,57.39,86.53,70.04,75.99,94.22
102.05,120.42,131.72,133.68,117.13,132.75
101.56,130.6,113.65,84.49,115.19,136.99
57.39,86.53,70.04,75.99,94.22,121.91
120.42,131.72,133.68,117.13,132.75,105.02
130.6,113.65,84.49,115.19,136.99,191.51
86.53,70.04,75.99,94.22,121.91,69.64
131.72,133.68,117.13,132.75,105.02,153.13
113.65,84.49,115.19,136.99,191.51,105.54
70.04,75.99,94.22,121.91,69.64,98.93
133.68,117.13,132.75,105.02,153.13,116.88
84.49,115.19,136.99,191.51,105.54,82.42
75.99,94.22,121.91,69.64,98.93,64.42
117.13,132.75,105.02,153.13,116.88,111.73
115.19,136.99,191.51,105.54,82.42,91.96
94.22,121.91,69.64,98.93,64.42,77.21
132.75,105.02,153.13,116.88,111.73,106.96
136.99,191.51,105.54,82.42,91.96,111.78
121.91,69.64,98.93,64.42,77.21,85.41
105.02,153.13,116.88,111.73,106.96,127.75
191.51,105.54,82.42,91.96,111.78,113.59
69.64,98.93,64.42,77.21,85.41,69.52
153.13,116.88,111.73,106.96,127.75,155.76
105.54,82.42,91.96,111.78,113.59,125.72
98.93,64.42,77.21,85.41,69.52,86.2
116.88,111.73,106.96,127.75,155.76,166.21
82.42,91.96,111.78,113.59,125.72,137.06
64.42,77.21,85.41,69.52,86.2,111.44
111.73,106.96,127.75,155.76,166.21,125.79
91.96,111.78,113.59,125.72,137.06,143.25
77.21,85.41,69.52,86.2,111.44,55.62
106.96,127.75,155.76,166.21,125.79,107.36
111.78,113.59,125.72,137.06,143.25,109.69
85.41,69.52,86.2,111.44,55.62,81.33
127.75,155.76,166.21,125.79,107.36,105.84
113.59,125.72,137.06,143.25,109.69,83.7
69.52,86.2,111.44,55.62,81.33,93.73
155.76,166.21,125.79,107.36,105.84,104.33
86.2,111.44,55.62,81.33,93.73,36.08
166.21,125.79,107.36,105.84,104.33,111.29
111.44,55.62,81.33,93.73,36.08,45.07
55.62,81.33,93.73,36.08,45.07,53.56
81.33,93.73,36.08,45.07,53.56,43.62
93.73,36.08,45.07,53.56,43.62,69.64
36.08,45.07,53.56,43.62,69.64,117.58
60.65,89.38,115.88,109.43,187.89,151.75
111.74,116.58,97.36,92.89,100.86,123.64
89.38,115.88,109.43,187.89,151.75,130.75
116.58,97.36,92.89,100.86,123.64,100.38
115.88,109.43,187.89,151.75,130.75,90.04
97.36,92.89,100.86,123.64,100.38,119.94
92.89,100.86,123.64,100.38,119.94,138.83
100.86,123.64,100.38,119.94,138.83,137.94
123.64,100.38,119.94,138.83,137.94,189.16
100.38,119.94,138.83,137.94,189.16,105.1
119.94,138.83,137.94,189.16,105.1,104.4
138.83,137.94,189.16,105.1,104.4,102.58
137.94,189.16,105.1,104.4,102.58,89.58
189.16,105.1,104.4,102.58,89.58,120.96
105.1,104.4,102.58,89.58,120.96,92.96
104.4,102.58,89.58,120.96,92.96,96.63
101.03,79.68,98.16,139.54,101.43,123.31
102.58,89.58,120.96,92.96,96.63,121.57
79.68,98.16,139.54,101.43,123.31,112.96
89.58,120.96,92.96,96.63,121.57,113.05
98.16,139.54,101.43,123.31,112.96,137.47
52.09,61.58,88.88,54.9,73.25,112.23
120.96,92.96,96.63,121.57,113.05,102.29
139.54,101.43,123.31,112.96,137.47,139.25
61.58,88.88,54.9,73.25,112.23,184.07
92.96,96.63,121.57,113.05,102.29,93.5
101.43,123.31,112.96,137.47,139.25,106.79
88.88,54.9,73.25,112.23,184.07,56.25
96.63,121.57,113.05,102.29,93.5,104.81
123.31,112.96,137.47,139.25,106.79,135.79
54.9,73.25,112.23,184.07,56.25,56.12
121.57,113.05,102.29,93.5,104.81,105.64
112.96,137.47,139.25,106.79,135.79,116.87
73.25,112.23,184.07,56.25,56.12,64.48
113.05,102.29,93.5,104.81,105.64,105.18
137.47,139.25,106.79,135.79,116.87,150.85
112.23,184.07,56.25,56.12,64.48,104.2
102.29,93.5,104.81,105.64,105.18,96.99
139.25,106.79,135.79,116.87,150.85,145.74
184.07,56.25,56.12,64.48,104.2,127.52
93.5,104.81,105.64,105.18,96.99,142.43
106.79,135.79,116.87,150.85,145.74,120.62
56.25,56.12,64.48,104.2,127.52,65.64
104.81,105.64,105.18,96.99,142.43,120.12
135.79,116.87,150.85,145.74,120.62,116.16
56.12,64.48,104.2,127.52,65.64,91.22
105.64,105.18,96.99,142.43,120.12,167.78
116.87,150.85,145.74,120.62,116.16,122.16
64.48,104.2,127.52,65.64,91.22,62.96
105.18,96.99,142.43,120.12,167.78,133.97
150.85,145.74,120.62,116.16,122.16,124.94
104.2,127.52,65.64,91.22,62.96,49.85
96.99,142.43,120.12,167.78,133.97,98.03
145.74,120.62,116.16,122.16,124.94,140.63
127.52,65.64,91.22,62.96,49.85,94.12
142.43,120.12,167.78,133.97,98.03,121.86
120.62,116.16,122.16,124.94,140.63,63.35
65.64,91.22,62.96,49.85,94.12,73.52
120.12,167.78,133.97,98.03,121.86,123.08
116.16,122.16,124.94,140.63,63.35,126.81
91.22,62.96,49.85,94.12,73.52,68.49
167.78,133.97,98.03,121.86,123.08,140.1
122.16,124.94,140.63,63.35,126.81,103.21
62.96,49.85,94.12,73.52,68.49,52.12
133.97,98.03,121.86,123.08,140.1,123.07
124.94,140.63,63.35,126.81,103.21,78.76
49.85,94.12,73.52,68.49,52.12,86.31
98.03,121.86,123.08,140.1,123.07,114.6
140.63,63.35,126.81,103.21,78.76,189.6
94.12,73.52,68.49,52.12,86.31,53.46
121.86,123.08,140.1,123.07,114.6,124.94
63.35,126.81,103.21,78.76,189.6,199.56
73.52,68.49,52.12,86.31,53.46,65.26
123.08,140.1,123.07,114.6,124.94,91.54
126.81,103.21,78.76,189.6,199.56,140.22
68.49,52.12,86.31,53.46,65.26,65.12
140.1,123.07,114.6,124.94,91.54,99.39
103.21,78.76,189.6,199.56,140.22,89.31
52.12,86.31,53.46,65.26,65.12,66.17
123.07,114.6,124.94,91.54,99.39,122.37
78.76,189.6,199.56,140.22,89.31,110.15
86.31,53.46,65.26,65.12,66.17,69.42
114.6,124.94,91.54,99.39,122.37,142.86
189.6,199.56,140.22,89.31,110.15,102.53
53.46,65.26,65.12,66.17,69.42,53.94
124.94,91.54,99.39,122.37,142.86,163.09
199.56,140.22,89.31,110.15,102.53,142.98
65.26,65.12,66.17,69.42,53.94,117.37
91.54,99.39,122.37,142.86,163.09,83.52
140.22,89.31,110.15,102.53,142.98,95.51
65.12,66.17,69.42,53.94,117.37,45.92
99.39,122.37,142.86,163.09,83.52,68.36
89.31,110.15,102.53,142.98,95.51,125.84
66.17,69.42,53.94,117.37,45.92,80.63
122.37,142.86,163.09,83.52,68.36,76.89
110.15,102.53,142.98,95.51,125.84,99.16
69.42,53.94,117.37,45.92,80.63,63.01
142.86,163.09,83.52,68.36,76.89,156.26
102.53,142.98,95.51,125.84,99.16,107.84
53.94,117.37,45.92,80.63,63.01,53.15
142.98,95.51,125.84,99.16,107.84,137.87
117.37,45.92,80.63,63.01,53.15,45.4
95.51,125.84,99.16,107.84,137.87,143.38
45.92,80.63,63.01,53.15,45.4,62.02
125.84,99.16,107.84,137.87,143.38,120.79
80.63,63.01,53.15,45.4,62.02,98.74
63.01,53.15,45.4,62.02,98.74,48.37
63.18,60.76,106.39,70.0,63.8,63.52
60.76,106.39,70.0,63.8,63.52,62.11
106.39,70.0,63.8,63.52,62.11,71.68
70.0,63.8,63.52,62.11,71.68,60.73
63.8,63.52,62.11,71.68,60.73,66.59
83.23,100.23,121.56,115.9,113.04,148.5
63.52,62.11,71.68,60.73,66.59,83.74
100.23,121.56,115.9,113.04,148.5,133.61
36.31,149.99,16.61,98.77,101.02,272.87
62.11,71.68,60.73,66.59,83.74,53.99
121.56,115.9,113.04,148.5,133.61,164.13
149.99,16.61,98.77,101.02,272.87,181.31
71.68,60.73,66.59,83.74,53.99,70.29
115.9,113.04,148.5,133.61,164.13,115.13
16.61,98.77,101.02,272.87,181.31,115.27
60.73,66.59,83.74,53.99,70.29,62.95
113.04,148.5,133.61,164.13,115.13,121.01
98.77,101.02,272.87,181.31,115.27,154.54
66.59,83.74,53.99,70.29,62.95,80.43
148.5,133.61,164.13,115.13,121.01,106.91
101.02,272.87,181.31,115.27,154.54,153.08
83.74,53.99,70.29,62.95,80.43,79.19
133.61,164.13,115.13,121.01,106.91,93.57
272.87,181.31,115.27,154.54,153.08,140.98
53.99,70.29,62.95,80.43,79.19,43.81
164.13,115.13,121.01,106.91,93.57,98.04
181.31,115.27,154.54,153.08,140.98,123.75
70.29,62.95,80.43,79.19,43.81,54.71
115.13,121.01,106.91,93.57,98.04,126.93
115.27,154.54,153.08,140.98,123.75,90.95
62.95,80.43,79.19,43.81,54.71,56.41
121.01,106.91,93.57,98.04,126.93,120.04
154.54,153.08,140.98,123.75,90.95,95.36
80.43,79.19,43.81,54.71,56.41,71.03
106.91,93.57,98.04,126.93,120.04,121.19
153.08,140.98,123.75,90.95,95.36,123.38
79.19,43.81,54.71,56.41,71.03,53.1
93.57,98.04,126.93,120.04,121.19,121.22
140.98,123.75,90.95,95.36,123.38,131.47
43.81,54.71,56.41,71.03,53.1,71.23
98.04,126.93,120.04,121.19,121.22,79.44
123.75,90.95,95.36,123.38,131.47,83.6
54.71,56.41,71.03,53.1,71.23,57.12
126.93,120.04,121.19,121.22,79.44,91.91
90.95,95.36,123.38,131.47,83.6,107.08
56.41,71.03,53.1,71.23,57.12,69.38
120.04,121.19,121.22,79.44,91.91,94.29
95.36,123.38,131.47,83.6,107.08,122.22
71.03,53.1,71.23,57.12,69.38,67.14
121.19,121.22,79.44,91.91,94.29,115.92
123.38,131.47,83.6,107.08,122.22,150.78
53.1,71.23,57.12,69.38,67.14,69.98
121.22,79.44,91.91,94.29,115.92,99.83
131.47,83.6,107.08,122.22,150.78,185.07
71.23,57.12,69.38,67.14,69.98,63.76
79.44,91.91,94.29,115.92,99.83,133.43
83.6,107.08,122.22,150.78,185.07,143.98
57.12,69.38,67.14,69.98,63.76,52.02
91.91,94.29,115.92,99.83,133.43,113.49
107.08,122.22,150.78,185.07,143.98,125.73
69.38,67.14,69.98,63.76,52.02,84.81
94.29,115.92,99.83,133.43,113.49,101.52
122.22,150.78,185.07,143.98,125.73,137.23
67.14,69.98,63.76,52.02,84.81,79.69
115.92,99.83,133.43,113.49,101.52,129.98
150.78,185.07,143.98,125.73,137.23,136.03
69.98,63.76,52.02,84.81,79.69,67.72
99.83,133.43,113.49,101.52,129.98,115.49
185.07,143.98,125.73,137.23,136.03,106.89
63.76,52.02,84.81,79.69,67.72,69.6
133.43,113.49,101.52,129.98,115.49,103.64
143.98,125.73,137.23,136.03,106.89,127.72
52.02,84.81,79.69,67.72,69.6,73.28
113.49,101.52,129.98,115.49,103.64,100.98
125.73,137.23,136.03,106.89,127.72,248.15
84.81,79.69,67.72,69.6,73.28,62.3
101.52,129.98,115.49,103.64,100.98,137.12
137.23,136.03,106.89,127.72,248.15,206.31
79.69,67.72,69.6,73.28,62.3,61.27
129.98,115.49,103.64,100.98,137.12,132.75
